㐀 qiu1
㐁 tian3 tian4
㐄 kua4
㐅 wu3
㐆 yin3
㐌 si4 yi2
㐖 ye4
㐜 chou2
㐡 nuo4
㐤 qiu2
㐨 xu4
㐩 xing2
㐫 xiong1
㐬 liu2
㐭 lin3
㐮 xiang1
㐯 yong1
㐰 xin4
㐱 zhen3
㐲 dai4
㐳 wu4
㐴 pan1
㐷 ma3 ma4 mian2
㐸 qian4
㐹 yi4
㐺 zhong4
㐻 n3 nei4 ng3
㐼 cheng4 zheng3
㑁 zhuo1
㑂 fang3 pang2
㑃 ao3
㑄 wu3
㑅 zuo4
㑇 zhou4
㑈 dong4
㑉 su4
㑊 yi4
㑋 jiong4 kong3 qiong2
㑌 wang1 kuang1
㑍 lei3 lei4
㑎 nao3
㑏 zhu4
㑔 xu3
㑘 jie4
㑙 die2 yong3
㑚 nuo2
㑛 su4
㑜 yi4
㑝 long4
㑞 ying4
㑟 beng3 bo2 peng3
㑣 lan2
㑤 miao2
㑥 yi4
㑦 li4
㑧 ji4
㑨 yu3
㑩 luo2
㑪 chai2
㑮 hun2
㑯 xu3
㑰 hui4
㑱 rao3
㑳 zhou4
㑵 han4 ji2 jie2 zha3 zi2
㑶 xi4
㑷 tai4 tian4 zhuan4
㑸 ai3 yao2 you2
㑹 hui4
㑺 jun4
㑻 ma4
㑼 lve4
㑽 tang2
㑾 xiao2 yao2
㑿 tiao2 zhao4
㒀 zha3
㒁 yu3 yun4
㒂 ku4 zhuo2
㒃 er4
㒄 nang4 nen4 ran3
㒅 qi3
㒆 chi4 ke4 xi4 xiao4 yan4
㒇 mu4 wu3
㒈 han4
㒉 tang3
㒊 se4
㒌 qiong2
㒍 lei2 lei3
㒎 sa3 sa4 tan4
㒑 hui4 kui3
㒒 pu2
㒓 ta4
㒔 shu3
㒖 ou3
㒗 tai2
㒙 mian2
㒚 wen3
㒛 diao4
㒜 yu2 yu3
㒝 mie4 wa4
㒞 jun4 ke3
㒟 niao3
㒠 xie4
㒡 you2
㒤 she4
㒦 lei3
㒧 li4
㒩 luo3
㒫 ji4
